KODTOV;kolvo_sale;DATA;kolvo_ost
021394;1.00;2023-08-18;5.00
021394;1.00;2023-09-03;4.00
030098;4.00;2023-09-04;50.00
030098;1.00;2023-08-21;43.00
030098;1.00;2023-08-28;36.00
030098;1.00;2023-08-17;32.00
030098;1.00;2023-09-22;12.00
030098;1.00;2023-08-03;34.00
030098;2.00;2023-09-01;64.00
030098;3.00;2023-09-30;80.00
030098;2.00;2023-09-03;54.00
030098;1.00;2023-08-08;27.00
030098;1.00;2023-09-18;12.00
030098;2.00;2023-08-07;58.00
030098;1.00;2023-09-14;21.00
030098;1.00;2023-09-10;26.00
030098;1.00;2023-08-05;33.00
030098;1.00;2023-09-13;25.00
030098;1.00;2023-08-01;38.00
030098;1.00;2023-08-27;37.00
030099;1.00;2023-08-19;51.00
030099;1.00;2023-09-14;24.00
030099;3.00;2023-08-11;88.00
030099;2.00;2023-08-21;50.00
030099;1.00;2023-09-06;35.00
030099;2.00;2023-09-25;41.00
030099;1.00;2023-08-02;34.00
030099;3.00;2023-08-15;76.00
030099;1.00;2023-09-26;39.00
030099;3.00;2023-09-01;92.00
030099;2.00;2023-09-20;9.00
030099;1.00;2023-08-01;40.00
030099;2.00;2023-09-05;38.00
030099;1.00;2023-09-15;23.00
030099;2.00;2023-08-05;76.00
030099;1.00;2023-09-03;41.00
030099;1.00;2023-09-12;29.00
030099;1.00;2023-09-28;45.00
030099;1.00;2023-08-22;48.00
030099;1.00;2023-08-25;44.00
030099;1.00;2023-08-03;45.00
030099;2.00;2023-08-13;82.00
030099;2.00;2023-09-17;32.00
030099;1.00;2023-09-30;38.00
030099;3.00;2023-08-04;88.00
030099;1.00;2023-08-07;36.00
030099;1.00;2023-08-30;41.00
030099;2.00;2023-09-02;43.00
030099;1.00;2023-08-08;35.00
030099;1.00;2023-08-14;39.00
030099;1.00;2023-09-09;30.00
030099;2.00;2023-08-28;86.00
030099;2.00;2023-09-07;68.00
030099;1.00;2023-09-13;28.00
030099;2.00;2023-09-23;14.00
030260;1.00;2023-09-21;8.00
030260;1.00;2023-09-04;10.00
030260;1.00;2023-09-19;9.00
030323;1.00;2023-08-04;7.00
030323;1.00;2023-08-29;11.00
030323;5.00;2023-09-10;10.00
030323;1.00;2023-08-02;8.00
030323;2.00;2023-09-26;5.00
030325;1.00;2023-08-07;11.00
030325;1.00;2023-08-01;12.00
030325;2.00;2023-09-20;13.00
030325;1.00;2023-09-26;11.00
030325;1.00;2023-09-12;14.00
030325;1.00;2023-08-10;10.00
032423;1.00;2023-09-09;7.00
032423;2.00;2023-09-13;6.00
032423;2.00;2023-09-30;9.00
032425;2.00;2023-08-02;9.00
032425;1.00;2023-08-08;11.00
032425;1.00;2023-09-13;11.00
032425;3.00;2023-09-30;16.00
032485;1.00;2023-08-02;6.00
032485;1.00;2023-09-11;16.00
032485;1.00;2023-08-30;12.00
032485;1.00;2023-08-09;4.00
032485;1.00;2023-09-20;14.00
032486;1.00;2023-09-10;17.00
032486;2.00;2023-09-11;32.00
032486;2.00;2023-08-08;7.00
032486;1.00;2023-08-11;9.00
032486;1.00;2023-08-14;8.00
032489;4.00;2023-09-10;4.00
032489;1.00;2023-08-09;6.00
032499;1.00;2023-09-08;17.00
032500;1.00;2023-09-29;12.00
032500;1.00;2023-09-09;14.00
032500;1.00;2023-08-20;18.00
032500;1.00;2023-09-17;13.00
032532;1.00;2023-08-09;7.00
032533;2.00;2023-09-05;11.00
032534;2.00;2023-08-02;5.00
032534;2.00;2023-08-13;7.00
032534;1.00;2023-08-03;3.00
032552;1.00;2023-08-14;10.00
032552;1.00;2023-08-21;21.00
